County,State,2010 Census,Base,2019-Pop
Monroe,Arkansas,8149,8155,6701
Montgomery,Arkansas,9487,9497,8986
Nevada,Arkansas,8997,9020,8252
Newton,Arkansas,8330,8315,7753
Ouachita,Arkansas,26120,26128,23382
Perry,Arkansas,10445,10444,10455
Phillips,Arkansas,21757,21755,17782
Pike,Arkansas,11291,11287,10718
Poinsett,Arkansas,24583,24576,23528
Polk,Arkansas,20662,20654,19964
Pope,Arkansas,61754,61753,64072
Prairie,Arkansas,8715,8716,8062
Pulaski,Arkansas,382748,382749,391911
Randolph,Arkansas,17969,17969,17958
St Francis,Arkansas,28258,28253,24994
Saline,Arkansas,107118,107135,122437
Scott,Arkansas,11233,11241,10281
Searcy,Arkansas,8195,8195,7881
Sebastian,Arkansas,125744,125740,127827
Sevier,Arkansas,17058,17059,17007
Sharp,Arkansas,17264,17263,17442
Stone,Arkansas,12394,12394,12506
Union,Arkansas,41639,41639,38682
Van Buren,Arkansas,17295,17296,16545
Washington,Arkansas,203065,203050,239187
White,Arkansas,77076,77086,78753
Woodruff,Arkansas,7260,7264,6320
Yell,Arkansas,22185,22183,21341
Alameda,California,1510271,1510258,1671329
Alpine,California,1175,1175,1129
Amador,California,38091,38091,39752
Butte,California,220000,220005,219186
Calaveras,California,45578,45578,45905
Colusa,California,21419,21407,21547
Contra Costa,California,1049025,1049204,1153526
Del Norte,California,28610,28610,27812
El Dorado,California,181058,181058,192843
Fresno,California,930450,930507,999101
Glenn,California,28122,28122,28393
Humboldt,California,134623,134611,135558
Imperial,California,174528,174524,181215
Inyo,California,18546,18542,18039
Kern,California,839631,839621,900202
Kings,California,152982,152974,152940
Lake,California,64665,64662,64386
Lassen,California,34895,34895,30573
Los Angeles,California,9818605,9819968,10039107
Madera,California,150865,150834,157327
Marin,California,252409,252430,258826
Mariposa,California,18251,18247,17203
Mendocino,California,87841,87850,86749
Merced,California,255793,255796,277680
Modoc,California,9686,9682,8841
Mono,California,14202,14206,14444
Monterey,California,415057,415059,434061
Napa,California,136484,136535,137744
Nevada,California,98764,98747,99755
