County,State,2010 Census,Base,2019-Pop
Harrison,Indiana,39364,39366,40515
Hendricks,Indiana,145448,145456,170311
Henry,Indiana,49462,49466,47972
Howard,Indiana,82752,82748,82544
Huntington,Indiana,37124,37123,36520
Jackson,Indiana,42376,42376,44231
Jasper,Indiana,33478,33481,33562
Jay,Indiana,21253,21253,20436
Jefferson,Indiana,32428,32400,32308
Jennings,Indiana,28525,28529,27735
Johnson,Indiana,139654,139855,158167
Knox,Indiana,38440,38440,36594
Kosciusko,Indiana,77358,77355,79456
LaGrange,Indiana,37128,37131,39614
Lake,Indiana,496005,496108,485493
LaPorte,Indiana,111467,111466,109888
Lawrence,Indiana,46134,46129,45370
Madison,Indiana,131636,131637,129569
Marion,Indiana,903393,903375,964582
Marshall,Indiana,47051,47050,46258
Martin,Indiana,10334,10380,10255
Miami,Indiana,36903,36905,35516
Monroe,Indiana,137974,137962,148431
Montgomery,Indiana,38124,38121,38338
Morgan,Indiana,68894,68926,70489
Newton,Indiana,14244,14239,13984
Noble,Indiana,47536,47538,47744
Ohio,Indiana,6128,6098,5875
Orange,Indiana,19840,19846,19646
Owen,Indiana,21575,21573,20799
Parke,Indiana,17339,17349,16937
Perry,Indiana,19338,19338,19169
Pike,Indiana,12845,12700,12389
Porter,Indiana,164343,164289,170389
Posey,Indiana,25910,25912,25427
Pulaski,Indiana,13402,13382,12353
Putnam,Indiana,37963,37945,37576
Randolph,Indiana,26171,26176,24665
Ripley,Indiana,28818,28812,28324
Rush,Indiana,17392,17392,16581
St Joseph,Indiana,266931,266914,271826
Scott,Indiana,24181,24195,23873
Shelby,Indiana,44436,44379,44729
Spencer,Indiana,20952,20955,20277
Starke,Indiana,23363,23362,22995
Steuben,Indiana,34185,34147,34594
Sullivan,Indiana,21475,21475,20669
Switzerland,Indiana,10613,10687,10751
Tippecanoe,Indiana,172780,172803,195732
Tipton,Indiana,15936,15936,15148
Union,Indiana,7516,7516,7054
Vanderburgh,Indiana,179703,179701,181451
Vermillion,Indiana,16212,16210,15498
Vigo,Indiana,107848,107852,107038
Wabash,Indiana,32888,32888,30996
Warren,Indiana,8508,8511,8265
Warrick,Indiana,59689,59689,62998
Washington,Indiana,28262,28254,28036
Wayne,Indiana,68917,68996,65884
Wells,Indiana,27636,27637,28296
White,Indiana,24643,24638,24102
Whitley,Indiana,33292,33287,33964
Adair,Iowa,7682,7682,7152
Adams,Iowa,4029,4029,3602
Allamakee,Iowa,14330,14328,13687
Appanoose,Iowa,12887,12887,12426
Audubon,Iowa,6119,6119,5496
Benton,Iowa,26076,26069,25645
Black Hawk,Iowa,131090,131086,131228
Boone,Iowa,26306,26308,26234
Bremer,Iowa,24276,24280,25062
Buchanan,Iowa,20958,20953,21175
Buena Vista,Iowa,20260,20265,19620
Butler,Iowa,14867,14869,14439
Calhoun,Iowa,9670,10177,9668
Carroll,Iowa,20816,20816,20165
Cass,Iowa,13956,13952,12836
Cedar,Iowa,18499,18441,18627
Cerro Gordo,Iowa,44151,44153,42450
Cherokee,Iowa,12072,12067,11235
Chickasaw,Iowa,12439,12442,11933
Clarke,Iowa,9286,9286,9395
Clay,Iowa,16667,16667,16016
Clayton,Iowa,18129,18128,17549
Clinton,Iowa,49116,49117,46429
Crawford,Iowa,17096,17096,16820
Dallas,Iowa,66135,66139,93453
Davis,Iowa,8753,8753,9000
Decatur,Iowa,8457,8456,7870
Delaware,Iowa,17764,17770,17011
Des Moines,Iowa,40325,40325,38967
Dickinson,Iowa,16667,16667,17258
Dubuque,Iowa,93653,93643,97311
Emmet,Iowa,10302,10302,9208
Fayette,Iowa,20880,20882,19650
Floyd,Iowa,16303,16293,15642
Franklin,Iowa,10680,10680,10070
Fremont,Iowa,7441,7438,6960
Greene,Iowa,9336,9337,8888
Grundy,Iowa,12453,12453,12232
Guthrie,Iowa,10954,10955,10689
Hamilton,Iowa,15673,15675,14773
Hancock,Iowa,11341,11338,10630
Hardin,Iowa,17534,17534,16846
Harrison,Iowa,14928,14937,14049
Henry,Iowa,20145,20145,19954
Howard,Iowa,9566,9564,9158
Humboldt,Iowa,9815,9814,9558
Ida,Iowa,7089,7089,6860
Iowa,Iowa,16355,16356,16184
Jackson,Iowa,19848,19853,19439
Jasper,Iowa,36842,36842,37185
Jefferson,Iowa,16843,16840,18295
Johnson,Iowa,130882,130882,151140
Jones,Iowa,20638,20636,20681
Keokuk,Iowa,10511,10510,10246
Kossuth,Iowa,15543,15545,14813
Lee,Iowa,35862,35862,33657
Linn,Iowa,211226,211243,226706
Louisa,Iowa,11387,11387,11035
Lucas,Iowa,8898,8900,8600
Lyon,Iowa,11581,11581,11755
Madison,Iowa,15679,15681,16338
Mahaska,Iowa,22381,22382,22095
Marion,Iowa,33309,33307,33253
Marshall,Iowa,40648,40648,39369
Mills,Iowa,15059,15059,15109
Mitchell,Iowa,10776,10776,10586
Monona,Iowa,9243,9242,8615
Monroe,Iowa,7970,7972,7707
Montgomery,Iowa,10740,10740,9917
Muscatine,Iowa,42745,42803,42664
O'Brien,Iowa,14398,14398,13753
Osceola,Iowa,6462,6462,5958
Page,Iowa,15932,15946,15107
Palo Alto,Iowa,9421,9421,8886
Plymouth,Iowa,24986,24984,25177
Pocahontas,Iowa,7310,7310,6619
Polk,Iowa,430640,430631,490161
Pottawattamie,Iowa,93158,93149,93206
Poweshiek,Iowa,18914,18915,18504
Ringgold,Iowa,5131,5130,4894
Sac,Iowa,10350,10350,9721
Scott,Iowa,165224,165223,172943
Shelby,Iowa,12167,12169,11454
Sioux,Iowa,33704,33704,34855
Story,Iowa,89542,89542,97117
Tama,Iowa,17767,17767,16854
Taylor,Iowa,6317,6317,6121
Union,Iowa,12534,12534,12241
Van Buren,Iowa,7570,7571,7044
Wapello,Iowa,35625,35624,34969
Warren,Iowa,46225,46226,51466
Washington,Iowa,21704,21704,21965
Wayne,Iowa,6403,6403,6441
Webster,Iowa,38013,38011,35904
Winnebago,Iowa,10866,10874,10354
Winneshiek,Iowa,21056,21058,19991
Woodbury,Iowa,102172,102175,103107
Worth,Iowa,7598,7591,7381
Wright,Iowa,13229,13229,12562
Allen,Kansas,13371,13372,12369
Anderson,Kansas,8102,8102,7858
Atchison,Kansas,16924,16921,16073
Barber,Kansas,4861,4864,4427
Barton,Kansas,27674,27672,25779
Bourbon,Kansas,15173,15172,14534
Brown,Kansas,9984,9984,9564
Butler,Kansas,65880,65884,66911
Chase,Kansas,2790,2790,2648
Chautauqua,Kansas,3669,3669,3250
Cherokee,Kansas,21603,21607,19939
Cheyenne,Kansas,2726,2726,2657
Clark,Kansas,2215,2215,1994
Clay,Kansas,8535,8545,8002
Cloud,Kansas,9533,9533,8786
Coffey,Kansas,8601,8598,8179
Comanche,Kansas,1891,1891,1700
Cowley,Kansas,36311,36309,34908
Crawford,Kansas,39134,39135,38818
Decatur,Kansas,2961,2965,2827
Dickinson,Kansas,19754,19749,18466
Doniphan,Kansas,7945,7948,7600
Douglas,Kansas,110826,110826,122259
Edwards,Kansas,3037,3037,2798
Elk,Kansas,2882,2882,2530
Ellis,Kansas,28452,28452,28553
Ellsworth,Kansas,6497,6497,6102
Finney,Kansas,36776,36785,36467
Ford,Kansas,33848,33844,33619
Franklin,Kansas,25992,25996,25544
Geary,Kansas,34362,34356,31670
Gove,Kansas,2695,2701,2636
Graham,Kansas,2597,2588,2482
Grant,Kansas,7829,7824,7150
Gray,Kansas,6006,6001,5988
Greeley,Kansas,1247,1248,1232
Greenwood,Kansas,6689,6689,5982
Hamilton,Kansas,2690,2687,2539
Harper,Kansas,6034,6034,5436
Harvey,Kansas,34684,34684,34429
Haskell,Kansas,4256,4256,3968
Hodgeman,Kansas,1916,1918,1794
Jackson,Kansas,13462,13460,13171
Jefferson,Kansas,19126,19108,19043
Jewell,Kansas,3077,3073,2879
Johnson,Kansas,544179,544181,602401
Kearny,Kansas,3977,3982,3838
Kingman,Kansas,7858,7860,7152
Kiowa,Kansas,2553,2553,2475
Labette,Kansas,21607,21609,19618
Lane,Kansas,1750,1749,1535
Leavenworth,Kansas,76227,76220,81758
Lincoln,Kansas,3241,3241,2962
Linn,Kansas,9656,9656,9703
Logan,Kansas,2756,2759,2794
Lyon,Kansas,33690,33692,33195
McPherson,Kansas,29180,29186,28542
Marion,Kansas,12660,12660,11884
Marshall,Kansas,10117,10117,9707
Meade,Kansas,4575,4575,4033
Miami,Kansas,32787,32781,34237
Mitchell,Kansas,6373,6373,5979
Montgomery,Kansas,35471,35468,31829
Morris,Kansas,5923,5923,5620
Morton,Kansas,3233,3233,2587
Nemaha,Kansas,10178,10178,10231
Neosho,Kansas,16512,16511,16007
Ness,Kansas,3107,3107,2750
Norton,Kansas,5671,5669,5361
Osage,Kansas,16295,16294,15949
Osborne,Kansas,3858,3861,3421
Ottawa,Kansas,6091,6091,5704
Pawnee,Kansas,6973,6971,6414
Phillips,Kansas,5642,5640,5234
Pottawatomie,Kansas,21604,21608,24383
Pratt,Kansas,9656,9653,9164
Rawlins,Kansas,2519,2519,2530
Reno,Kansas,64511,64511,61998
Republic,Kansas,4980,4980,4636
Rice,Kansas,10083,10082,9537
Riley,Kansas,71115,71130,74232
Rooks,Kansas,5181,5181,4920
Rush,Kansas,3307,3307,3036
Russell,Kansas,6970,6967,6856
Saline,Kansas,55606,55604,54224
Scott,Kansas,4936,4936,4823
Sedgwick,Kansas,498365,498356,516042
Seward,Kansas,22952,22950,21428
Shawnee,Kansas,177934,177943,176875
Sheridan,Kansas,2556,2544,2521
Sherman,Kansas,6010,6010,5917
Smith,Kansas,3853,3853,3583
Stafford,Kansas,4437,4439,4156
Stanton,Kansas,2235,2236,2006
Stevens,Kansas,5724,5726,5485
Sumner,Kansas,24132,24137,22836
Thomas,Kansas,7900,7902,7777
Trego,Kansas,3001,3006,2803
Wabaunsee,Kansas,7053,7055,6931
Wallace,Kansas,1485,1485,1518
Washington,Kansas,5799,5794,5406
Wichita,Kansas,2234,2234,2119
Wilson,Kansas,9409,9406,8525
Woodson,Kansas,3309,3309,3138
Wyandotte,Kansas,157505,157523,165429
Adair,Kentucky,18656,18659,19202
Allen,Kentucky,19956,19958,21315
Anderson,Kentucky,21421,21462,22747
Ballard,Kentucky,8249,8246,7888
Barren,Kentucky,42173,42161,44249
Bath,Kentucky,11591,11587,12500
Bell,Kentucky,28691,28691,26032
Boone,Kentucky,118811,118810,133581
Bourbon,Kentucky,19985,20008,19788
Boyd,Kentucky,49542,49534,46718
Boyle,Kentucky,28432,28443,30060
Bracken,Kentucky,8488,8486,8303
Breathitt,Kentucky,13878,13876,12630
Breckinridge,Kentucky,20059,20053,20477
Bullitt,Kentucky,74319,74308,81676
Butler,Kentucky,12690,12697,12879
Caldwell,Kentucky,12984,12989,12747
Calloway,Kentucky,37191,37190,39001
Campbell,Kentucky,90336,90338,93584
Carlisle,Kentucky,5104,5097,4760
Carroll,Kentucky,10811,10807,10631
Carter,Kentucky,27720,27721,26797
Casey,Kentucky,15955,15960,16159
Christian,Kentucky,73955,73940,70461
Clark,Kentucky,35613,35603,36263
Clay,Kentucky,21730,21729,19901
Clinton,Kentucky,10272,10267,10218
Crittenden,Kentucky,9315,9315,8806
Cumberland,Kentucky,6856,6849,6614
Daviess,Kentucky,96656,96641,101511
Edmonson,Kentucky,12161,12177,12150
Elliott,Kentucky,7852,7850,7517
Estill,Kentucky,14672,14679,14106
Fayette,Kentucky,295803,295870,323152
Fleming,Kentucky,14348,14346,14581
Floyd,Kentucky,39451,39450,35589
Franklin,Kentucky,49285,49268,50991
Fulton,Kentucky,6813,6813,5969
Gallatin,Kentucky,8589,8586,8869
Garrard,Kentucky,16912,16905,17666
Grant,Kentucky,24662,24655,25069
Graves,Kentucky,37121,37151,37266
Grayson,Kentucky,25746,25749,26427
Green,Kentucky,11258,11255,10941
Greenup,Kentucky,36910,36906,35098
Hancock,Kentucky,8565,8565,8722
Hardin,Kentucky,105543,105537,110958
Harlan,Kentucky,29278,29278,26010
Harrison,Kentucky,18846,18850,18886
Hart,Kentucky,18199,18194,19035
Henderson,Kentucky,46250,46246,45210
Henry,Kentucky,15416,15413,16126
Hickman,Kentucky,4902,4903,4380
Hopkins,Kentucky,46920,46918,44686
Jackson,Kentucky,13494,13490,13329
Jefferson,Kentucky,741096,741075,766757
Jessamine,Kentucky,48586,48580,54115
Johnson,Kentucky,23356,23359,22188
Kenton,Kentucky,159720,159728,166998
Knott,Kentucky,16346,16364,14806
Knox,Kentucky,31883,31888,31145
Larue,Kentucky,14193,14181,14398
Laurel,Kentucky,58849,58849,60813
Lawrence,Kentucky,15860,15859,15317
Lee,Kentucky,7887,7887,7403
Leslie,Kentucky,11310,11310,9877
Letcher,Kentucky,24519,24511,21553
Lewis,Kentucky,13870,13883,13275
Lincoln,Kentucky,24742,24736,24549
Livingston,Kentucky,9519,9519,9194
Logan,Kentucky,26835,26832,27102
Lyon,Kentucky,8314,8319,8210
McCracken,Kentucky,65565,65539,65418
McCreary,Kentucky,18306,18306,17231
McLean,Kentucky,9531,9540,9207
Madison,Kentucky,82916,82913,92987
Magoffin,Kentucky,13333,13333,12161
Marion,Kentucky,19820,19835,19273
Marshall,Kentucky,31448,31448,31100
Martin,Kentucky,12929,12929,11195
Mason,Kentucky,17490,17490,17070
Meade,Kentucky,28602,28613,28572
Menifee,Kentucky,6306,6309,6489
Mercer,Kentucky,21331,21311,21933
Metcalfe,Kentucky,10099,10116,10071
Monroe,Kentucky,10963,10963,10650
Montgomery,Kentucky,26499,26507,28157
Morgan,Kentucky,13923,13921,13309
Muhlenberg,Kentucky,31499,31499,30622
Nelson,Kentucky,43437,43441,46233
Nicholas,Kentucky,7135,7129,7269
Ohio,Kentucky,23842,23854,23994
Oldham,Kentucky,60316,60356,66799
Owen,Kentucky,10841,10837,10901
Owsley,Kentucky,4755,4755,4415
Pendleton,Kentucky,14877,14874,14590
Perry,Kentucky,28712,28697,25758
Pike,Kentucky,65024,65029,57876
Powell,Kentucky,12613,12613,12359
Pulaski,Kentucky,63063,63061,64979
Robertson,Kentucky,2282,2282,2108
Rockcastle,Kentucky,17056,17056,16695
Rowan,Kentucky,23333,23336,24460
Russell,Kentucky,17565,17565,17923
Scott,Kentucky,47173,47096,57004
Shelby,Kentucky,42074,41971,49024
Simpson,Kentucky,17327,17329,18572
Spencer,Kentucky,17061,17142,19351
Taylor,Kentucky,24512,24511,25769
Todd,Kentucky,12460,12463,12294
Trigg,Kentucky,14339,14327,14651
Trimble,Kentucky,8809,8809,8471
Union,Kentucky,15007,15007,14381
Warren,Kentucky,113792,113781,132896
Washington,Kentucky,11717,11713,12095
Wayne,Kentucky,20813,20813,20333
Webster,Kentucky,13621,13621,12942
Whitley,Kentucky,35637,35633,36264
Wolfe,Kentucky,7355,7355,7157
Woodford,Kentucky,24939,24946,26734
Acadia,Louisiana,61773,61787,62045
Allen,Louisiana,25764,25747,25627
Ascension,Louisiana,107215,107215,126604
Assumption,Louisiana,23421,23416,21891
Avoyelles,Louisiana,42073,42071,40144
Beauregard,Louisiana,35654,35651,37497
Bienville,Louisiana,14353,14353,13241
Bossier,Louisiana,116979,117036,127039
Caddo,Louisiana,254969,254914,240204
Calcasieu,Louisiana,192768,192772,203436
Caldwell,Louisiana,10132,10126,9918
Cameron,Louisiana,6839,6868,6973
Catahoula,Louisiana,10407,10407,9494
Claiborne,Louisiana,17195,17195,15670
Concordia,Louisiana,20822,20822,19259
De Soto,Louisiana,26656,26656,27463
East Baton Rouge,Louisiana,440171,440525,440059
East Carroll,Louisiana,7759,7759,6861
East Feliciana,Louisiana,20267,20260,19135
Evangeline,Louisiana,33984,33988,33395
Franklin,Louisiana,20767,20767,20015
Grant,Louisiana,22309,22309,22389
Iberia,Louisiana,73240,73087,69830
Iberville,Louisiana,33387,33404,32511
Jackson,Louisiana,16274,16272,15744
Jefferson,Louisiana,432552,432576,432493
Jefferson Davis,Louisiana,31594,31592,31368
Lafayette,Louisiana,221578,221778,244390
Lafourche,Louisiana,96318,96642,97614
LaSalle,Louisiana,14890,14890,14892
Lincoln,Louisiana,46735,46740,46742
Livingston,Louisiana,128026,127674,140789
Madison,Louisiana,12093,12101,10951
Morehouse,Louisiana,27979,27979,24874
Natchitoches,Louisiana,39566,39569,38158
Orleans,Louisiana,343829,343828,390144
Ouachita,Louisiana,153720,153734,153279
Plaquemines,Louisiana,23042,23035,23197
Pointe Coupee,Louisiana,22802,22808,21730
Rapides,Louisiana,131613,131609,129648
Red River,Louisiana,9091,9091,8442
Richland,Louisiana,20725,20722,20122
Sabine,Louisiana,24233,24226,23884
St Bernard,Louisiana,35897,35897,47244
St Charles,Louisiana,52780,52888,53100
St Helena,Louisiana,11203,11205,10132
St James,Louisiana,22102,22101,21096
St John the Baptist,Louisiana,45924,45810,42837
St Landry,Louisiana,83384,83390,82124
St Martin,Louisiana,52160,52122,53431
St Mary,Louisiana,54650,54647,49348
St Tammany,Louisiana,233740,233756,260419
Tangipahoa,Louisiana,121097,121109,134758
Tensas,Louisiana,5252,5250,4334
Terrebonne,Louisiana,111860,111543,110461
Union,Louisiana,22721,22774,22108
Vermilion,Louisiana,57999,57959,59511
Vernon,Louisiana,52334,52361,47429
Washington,Louisiana,47168,47140,46194
Webster,Louisiana,41207,41207,38340
West Baton Rouge,Louisiana,23788,23785,26465
West Carroll,Louisiana,11604,11604,10830
West Feliciana,Louisiana,15625,15625,15568
Winn,Louisiana,15313,15313,13904
Androscoggin,Maine,107702,107709,108277
Aroostook,Maine,71870,71873,67055
Cumberland,Maine,281674,281690,295003
Franklin,Maine,30768,30767,30199
Hancock,Maine,54418,54408,54987
Kennebec,Maine,122151,122154,122302
Knox,Maine,39736,39734,39772
Lincoln,Maine,34457,34445,34634
Oxford,Maine,57833,57830,57975
Penobscot,Maine,153923,153931,152148
Piscataquis,Maine,17535,17535,16785
Sagadahoc,Maine,35293,35287,35856
Somerset,Maine,52228,52222,50484
Waldo,Maine,38786,38787,39715
Washington,Maine,32856,32855,31379
York,Maine,197131,197131,207641
Allegany,Maryland,75087,75047,70416
Anne Arundel,Maryland,537656,537631,579234
Baltimore,Maryland,805029,805324,827370
Calvert,Maryland,88737,88739,92525
Caroline,Maryland,33066,33078,33406
Carroll,Maryland,167134,167141,168447
Cecil,Maryland,101108,101102,102855
Charles,Maryland,146551,146564,163257
Dorchester,Maryland,32618,32623,31929
Frederick,Maryland,233385,233403,259547
Garrett,Maryland,30097,30139,29014
Harford,Maryland,244826,244824,255441
Howard,Maryland,287085,287123,325690
Kent,Maryland,20197,20195,19422
Montgomery,Maryland,971777,971284,1050688
Prince George's,Maryland,863420,864029,909327
Queen Anne's,Maryland,47798,47785,50381
St Mary's,Maryland,105151,105144,113510
Somerset,Maryland,26470,26470,25616
Talbot,Maryland,37782,37781,37181
Washington,Maryland,147430,147417,151049
Wicomico,Maryland,98733,98733,103609
Worcester,Maryland,51454,51448,52276
Baltimore city,Maryland,620961,620770,593490
Barnstable,Massachusetts,215888,215880,212990
Berkshire,Massachusetts,131219,131274,124944
Bristol,Massachusetts,548285,548242,565217
Dukes,Massachusetts,16535,16535,17332
Essex,Massachusetts,743159,743082,789034
Franklin,Massachusetts,71372,71381,70180
Hampden,Massachusetts,463490,463615,466372
Hampshire,Massachusetts,158080,158063,160830
Middlesex,Massachusetts,1503085,1503133,1611699
Nantucket,Massachusetts,10172,10172,11399
Norfolk,Massachusetts,670850,670910,706775
Plymouth,Massachusetts,494919,494932,521202
Suffolk,Massachusetts,722023,722183,803907
Worcester,Massachusetts,798552,798383,830622
Alcona,Michigan,10942,10943,10405
Alger,Michigan,9601,9601,9108
Allegan,Michigan,111408,111400,118081
Alpena,Michigan,29598,29594,28405
Antrim,Michigan,23580,23574,23324
Arenac,Michigan,15899,15903,14883
Baraga,Michigan,8860,8866,8209
Barry,Michigan,59173,59177,61550
Bay,Michigan,107771,107773,103126
Benzie,Michigan,17525,17526,17766
Berrien,Michigan,156813,156808,153401
Branch,Michigan,45248,45242,43517
Calhoun,Michigan,136146,136150,134159
Cass,Michigan,52293,52289,51787
Charlevoix,Michigan,25949,25955,26143
Cheboygan,Michigan,26152,26145,25276
Chippewa,Michigan,38520,38672,37349
Clare,Michigan,30926,30924,30950
Clinton,Michigan,75382,75364,79595
Crawford,Michigan,14074,14081,14029
Delta,Michigan,37069,37069,35784
Dickinson,Michigan,26168,26168,25239
Eaton,Michigan,107759,107761,110268
Emmet,Michigan,32694,32694,33415
Genesee,Michigan,425790,425787,405813
Gladwin,Michigan,25692,25698,25449
Gogebic,Michigan,16427,16424,13975
Grand Traverse,Michigan,86986,86983,93088
Gratiot,Michigan,42476,42478,40711
Hillsdale,Michigan,46688,46691,45605
Houghton,Michigan,36628,36625,35684
Huron,Michigan,33118,33118,30981
Ingham,Michigan,280895,280891,292406
Ionia,Michigan,63905,63901,64697
Iosco,Michigan,25887,25893,25127
Iron,Michigan,11817,11817,11066
Isabella,Michigan,70311,70313,69872
Jackson,Michigan,160248,160233,158510
Kalamazoo,Michigan,250331,250327,265066
Kalkaska,Michigan,17153,17147,18038
Kent,Michigan,602622,602625,656955
Keweenaw,Michigan,2156,2156,2116
Lake,Michigan,11539,11544,11853
Lapeer,Michigan,88319,88316,87607
Leelanau,Michigan,21708,21711,21761
Lenawee,Michigan,99892,99899,98451
Livingston,Michigan,180967,180964,191995
Luce,Michigan,6631,6631,6229
Mackinac,Michigan,11113,11114,10799
Macomb,Michigan,840978,841039,873972
Manistee,Michigan,24733,24747,24558
Marquette,Michigan,67077,67071,66699
Mason,Michigan,28705,28689,29144
Mecosta,Michigan,42798,42798,43453
Menominee,Michigan,24029,24029,22780
Midland,Michigan,83629,83621,83156
Missaukee,Michigan,14849,14851,15118
Monroe,Michigan,152021,152031,150500
Montcalm,Michigan,63342,63342,63888
Montmorency,Michigan,9765,9760,9328
Muskegon,Michigan,172188,172194,173566
Newaygo,Michigan,48460,48459,48980
Oakland,Michigan,1202362,1202384,1257584
Oceana,Michigan,26570,26570,26467
Ogemaw,Michigan,21699,21688,20997
Ontonagon,Michigan,6780,6780,5720
Osceola,Michigan,23528,23526,23460
Oscoda,Michigan,8640,8638,8241
Otsego,Michigan,24164,24167,24668
Ottawa,Michigan,263801,263795,291830
Presque Isle,Michigan,13376,13380,12592
Roscommon,Michigan,24449,24448,24019
Saginaw,Michigan,200169,200169,190539
St Clair,Michigan,163040,163051,159128
St Joseph,Michigan,61295,61303,60964
Sanilac,Michigan,43114,43106,41170
Schoolcraft,Michigan,8485,8485,8094
Shiawassee,Michigan,70648,70668,68122
Tuscola,Michigan,55729,55722,52245
Van Buren,Michigan,76258,76269,75677
Washtenaw,Michigan,344791,345163,367601
Wayne,Michigan,1820584,1820473,1749343
Wexford,Michigan,32735,32735,33631
Aitkin,Minnesota,16202,16192,15886
Anoka,Minnesota,330844,330858,356921
Becker,Minnesota,32504,32506,34423
Beltrami,Minnesota,44442,44443,47188
Benton,Minnesota,38451,38451,40889
Big Stone,Minnesota,5269,5268,4991
Blue Earth,Minnesota,64013,64013,67653
Brown,Minnesota,25893,25893,25008
Carlton,Minnesota,35386,35386,35871
Carver,Minnesota,91042,91086,105089
Cass,Minnesota,28567,28565,29779
Chippewa,Minnesota,12441,12443,11800
Chisago,Minnesota,53887,53890,56579
Clay,Minnesota,58999,58999,64222
Clearwater,Minnesota,8695,8695,8818
Cook,Minnesota,5176,5176,5463
Cottonwood,Minnesota,11687,11687,11196
Crow Wing,Minnesota,62500,62512,65055
Dakota,Minnesota,398552,398590,429021
Dodge,Minnesota,20087,20087,20934
Douglas,Minnesota,36009,36011,38141
Faribault,Minnesota,14553,14553,13653
Fillmore,Minnesota,20866,20868,21067
Freeborn,Minnesota,31255,31254,30281
Goodhue,Minnesota,46183,46184,46340
Grant,Minnesota,6018,6018,5972
Hennepin,Minnesota,1152425,1152385,1265843
Houston,Minnesota,19027,19020,18600
Hubbard,Minnesota,20428,20427,21491
Isanti,Minnesota,37816,37810,40596
Itasca,Minnesota,45058,45058,45130
Jackson,Minnesota,10266,10266,9846
Kanabec,Minnesota,16239,16244,16337
Kandiyohi,Minnesota,42239,42239,43199
Kittson,Minnesota,4552,4552,4298
Koochiching,Minnesota,13311,13314,12229
Lac qui Parle,Minnesota,7259,7258,6623
Lake,Minnesota,10866,10862,10641
Lake of the Woods,Minnesota,4045,4045,3740
Le Sueur,Minnesota,27703,27701,28887
Lincoln,Minnesota,5896,5895,5639
Lyon,Minnesota,25857,25858,25474
McLeod,Minnesota,36651,36645,35893
Mahnomen,Minnesota,5413,5413,5527
Marshall,Minnesota,9439,9439,9336
Martin,Minnesota,20840,20843,19683
Meeker,Minnesota,23300,23298,23222
Mille Lacs,Minnesota,26097,26097,26277
Morrison,Minnesota,33198,33198,33386
Mower,Minnesota,39163,39167,40062
Murray,Minnesota,8725,8725,8194
Nicollet,Minnesota,32727,32729,34274
Nobles,Minnesota,21378,21378,21629
Norman,Minnesota,6852,6845,6375
Olmsted,Minnesota,144248,144268,158293
Otter Tail,Minnesota,57303,57301,58746
Pennington,Minnesota,13930,13930,14119
Pine,Minnesota,29750,29747,29579
Pipestone,Minnesota,9596,9597,9126
Polk,Minnesota,31600,31600,31364
Pope,Minnesota,10995,10993,11249
Ramsey,Minnesota,508640,508639,550321
Red Lake,Minnesota,4089,4089,4055
Redwood,Minnesota,16059,16058,15170
Renville,Minnesota,15730,15728,14548
Rice,Minnesota,64142,64143,66972
Rock,Minnesota,9687,9686,9315
Roseau,Minnesota,15629,15629,15165
St Louis,Minnesota,200226,200229,199070
Scott,Minnesota,129928,129908,149013
Sherburne,Minnesota,88499,88492,97238
Sibley,Minnesota,15226,15234,14865
Stearns,Minnesota,150642,150642,161075
Steele,Minnesota,36576,36581,36649
Stevens,Minnesota,9726,9722,9805
Swift,Minnesota,9783,9781,9266
Todd,Minnesota,24895,24895,24664
Traverse,Minnesota,3558,3558,3259
Wabasha,Minnesota,21676,21665,21627
Wadena,Minnesota,13843,13843,13682
Waseca,Minnesota,19136,19138,18612
Washington,Minnesota,238136,238109,262440
Watonwan,Minnesota,11211,11211,10897
Wilkin,Minnesota,6576,6576,6207
Winona,Minnesota,51461,51461,50484
Wright,Minnesota,124700,124697,138377
Yellow Medicine,Minnesota,10438,10438,9709
Adams,Mississippi,32297,32300,30693
Alcorn,Mississippi,37057,37062,36953
Amite,Mississippi,13131,13136,12297
Attala,Mississippi,19564,19562,18174
Benton,Mississippi,8729,8728,8259
Bolivar,Mississippi,34145,34153,30628
Calhoun,Mississippi,14962,14957,14361
Carroll,Mississippi,10597,10597,9947
Chickasaw,Mississippi,17392,17392,17103
Choctaw,Mississippi,8547,8551,8210
Claiborne,Mississippi,9604,9597,8988
Clarke,Mississippi,16732,16728,15541
Clay,Mississippi,20634,20648,19316
Coahoma,Mississippi,26151,26145,22124
Copiah,Mississippi,29449,29448,28065
Covington,Mississippi,19568,19573,18636
DeSoto,Mississippi,161252,161267,184945
Forrest,Mississippi,74934,74862,74897
Franklin,Mississippi,8118,8118,7713
George,Mississippi,22578,22583,24500
Greene,Mississippi,14400,14391,13586
Grenada,Mississippi,21906,21898,20758
Hancock,Mississippi,43929,44023,47632
Harrison,Mississippi,187105,187109,208080
Hinds,Mississippi,245285,245364,231840
Holmes,Mississippi,19198,19483,17010
Humphreys,Mississippi,9375,9373,8064
Issaquena,Mississippi,1406,1399,1327
Itawamba,Mississippi,23401,23401,23390
Jackson,Mississippi,139668,139669,143617
Jasper,Mississippi,17062,17073,16383
Jefferson,Mississippi,7726,7732,6990
Jefferson Davis,Mississippi,12487,12471,11128
Jones,Mississippi,67761,67768,68098
Kemper,Mississippi,10456,10438,9742
Lafayette,Mississippi,47351,47361,54019
Lamar,Mississippi,55658,55732,63343
