Season,TeamName,KeyField,CONF,SEED,WL%,EFGPct-OFF,TOPct,ORPct,FTRate,EFGPct-DEF,TOPct,ORPct,FTRate,Off_1-POINTDIST,Off_2,Off_3,Def_1,Def_2,Def_3,FG2Pct-MISC,FG3Pct,FTPct,BlockPct,OppFG2Pct,OppFG3Pct,OppFTPct,OppBlockPct,FG3Rate,OppFG3Rate,ARate,OppARate,StlRate,OppStlRate,DFP,AdjTempo,Tempo-SUMM,OE,AdjOE,DE,AdjDE,AdjEM,TARGET16
2018,College of Charleston,2018College of Charleston,12,13,3.714285714,52.33957219,15.02810839,25.65864834,37.43315508,48.9116095,17.96718493,28.86266094,31.46437995,21.5037594,48.72180451,29.77443609,19.44595329,50.73329712,29.82074959,51.48305085,35.86956522,76.60714286,10.14344262,47.84836066,33.88888889,75.0524109,8.792372881,36.89839572,35.62005277,42.98245614,48.30769231,0.078190527,0.060445159,8.459220603,64.7,325,17.9,242,18.7,347,4.99,
2018,Creighton,2018Creighton,8,8,1.909090909,58.47917924,15.76607775,22.2095672,27.3989137,50.31884058,15.66533604,24.33758587,23.42028986,15.11169514,48.09461235,36.79369251,14.56692913,54.42913386,31.00393701,59.93449782,37.78677463,75.99118943,5.763952425,50.5946935,33.2278481,73.26732673,8.406113537,44.71937236,36.63768116,58.50422195,50.72083879,0.071526615,0.086134163,3.230547367,71.1,48,15.1,9,17.7,246,16.5,
2018,Davidson,2018Davidson,1,12,1.909090909,57.9851752,14.84024101,23.00884956,22.50673854,51.36842105,16.59302538,22.13209733,28.14035088,13.1246845,44.92680464,41.94851085,15.71675302,48.01381693,36.26943005,57.94270833,38.68715084,77.84431138,6.400966184,50.36231884,35.1758794,68.0798005,8.203125,48.24797844,41.89473684,61.77285319,53.26953748,0.074785466,0.077122512,-0.30036522,64.9,320,18.6,307,18,300,13.17,
2018,Duke,2018Duke,2,2,3.714285714,56.86218679,17.16823627,39.93839836,35.70615034,46.2962963,16.62084323,29.32263815,22.71973466,18.18926669,52.1917247,29.6190086,15.44674407,51.38818778,33.16506815,55.7793345,39.25081433,70.81339713,13.16017316,44.06926407,33.48623853,74.45255474,6.742556918,34.96583144,36.15257048,56.83371298,53.15934066,0.102014158,0.077132656,0.789263484,70.4,68,15.8,36,17.9,287,29.13,
2018,Florida,2018Florida,27,6,1.666666667,50.41055718,14.42255256,29.40057088,33.43108504,49.31292942,20.22236907,29.20081967,31.41786384,19.56013102,45.48432382,34.95554516,19.31527849,50.79202862,29.8926929,46.95652174,37.1641791,73.33333333,12.47637051,46.97542533,35.91160221,75.14910537,8.695652174,39.29618768,33.91630231,49.11564626,47.83236994,0.100085329,0.065697037,10.30152758,67.5,207,16.7,93,18.5,337,16.99,
2018,Florida St.,2018Florida St.,2,9,1.818181818,54.18894831,17.43486974,34.2408377,35.82887701,48.0861244,19.53907816,29.91202346,30.92105263,18.51851852,51.40562249,29.98661312,18.9107413,48.10892587,32.98033283,54.33962264,35.95505618,68.8225539,12.19980788,45.82132565,34.54833597,72.53384913,7.075471698,37.01723113,37.73923445,52.625,48.63309353,0.092184369,0.080661323,6.42866149,71.8,31,15.9,42,17.4,191,17.55,
2018,Georgia St.,2018Georgia St.,25,15,2.4,53.79449295,17.03634984,26.20689655,31.36333109,47.55509642,21.534396,33.01886792,36.43250689,16.5625,46.875,36.5625,20.72330654,39.83926521,39.43742824,51.19453925,38.36065574,68.09421842,14.8427673,43.64779874,34.85540335,68.24196597,10.23890785,40.96709201,45.24793388,48.68421053,59.72222222,0.104017317,0.073655506,-2.016711071,67.1,231,17.5,195,18.2,324,6.87,
2018,Gonzaga,2018Gonzaga,32,4,7.5,57.07750269,16.04885252,34.24926398,31.75457481,47.31121281,17.8372877,23.35437331,30.26315789,16.79089839,51.78501373,31.42408788,18.68239921,48.2792527,33.03834808,58.66666667,36.42564802,72.54237288,10.16949153,43.80017841,35.72567783,71.83364839,6.933333333,39.4510226,35.86956522,51.02481122,46.71328671,0.093186886,0.070596125,7.90666864,69.1,127,16.2,62,18.4,332,23.09,
2018,Houston,2018Houston,4,6,3.714285714,53.29397141,18.13961312,35.03184713,31.63455562,45.83333333,19.431455,25.8097166,41.39344262,17.54807692,49.13461538,33.31730769,24.22360248,44.2687747,31.50762281,50.74478649,38.37209302,71.70923379,9.333333333,43.55555556,32.9787234,70.79207921,7.149950348,37.41454319,38.52459016,54.31266846,52.07612457,0.094196804,0.076433978,7.593003621,68.3,166,17.2,145,17.7,248,18.35,
2018,Iona,2018Iona,16,15,1.538461538,53.96551724,16.22698225,24.8234107,27.12643678,52.04965358,18.52417552,29.69518191,28.29099307,15.54357592,47.4393531,36.92722372,15.55035129,53.95784543,30.49180328,51.5625,38.26815642,73.30508475,7.857142857,51.42857143,35.45751634,67.75510204,7.51953125,41.14942529,35.33487298,57.48129676,52.83732661,0.090910202,0.066471975,5.461887946,70.5,64,15.8,33,17.9,290,6.88,
