Rank,name,state,pop2019,pop2018,GrowthRate,area,Density
132,Georgia,NaN,3996.765,,0.9981,69700,57.3424
133,Eritrea,NaN,3497.117,,1.0141,117600,29.7374
134,Uruguay,NaN,3461.734,,1.0035,181034,19.122
135,Bosnia and Herzegovina,NaN,3301,,0.9939,51209,64.4613
136,Mongolia,NaN,3225.167,,1.0165,1564110,2.062
137,Armenia,NaN,2957.731,,1.0019,29743,99.4429
138,Jamaica,NaN,2948.279,,1.0044,10991,268.2448
139,Puerto Rico,NaN,2933.408,,0.9753,8870,330.7112
140,Albania,NaN,2880.917,,0.9989,28748,100.2128
141,Qatar,NaN,2832.067,,1.0173,11586,244.4387
142,Lithuania,NaN,2759.627,,0.9865,65300,42.2608
143,Namibia,NaN,2494.53,,1.0186,825615,3.0214
144,Gambia,NaN,2347.706,,1.0294,10689,219.6376
145,Botswana,NaN,2303.697,,1.0208,582000,3.9582
146,Gabon,NaN,2172.579,,1.0245,267668,8.1167
147,Lesotho,NaN,2125.268,,1.008,30355,70.0138
148,Macedonia,NaN,2083.459,,1,25713,81.0275
149,Slovenia,NaN,2078.654,,1.0001,20273,102.5331
150,Guinea-Bissau,NaN,1920.922,,1.0245,36125,53.1743
151,Latvia,NaN,1906.743,,0.9892,64559,29.5349
152,Bahrain,NaN,1641.172,,1.0368,765,2145.3229
153,Trinidad and Tobago,NaN,1394.973,,1.0032,5130,271.9246
154,Equatorial Guinea,NaN,1355.986,,1.0347,28051,48.34
155,Estonia,NaN,1325.648,,1.0007,45227,29.311
156,Timor-Leste,NaN,1293.119,,1.0196,14874,86.9382
157,Mauritius,NaN,1269.668,,1.0017,2040,622.3863
158,Cyprus,NaN,1198.575,,1.0073,9251,129.5617
159,Swaziland,NaN,1148.13,,1.0105,17364,66.1213
160,Djibouti,NaN,973.56,,1.0148,23200,41.9638
161,Fiji,NaN,889.953,,1.0073,18272,48.7058
162,Reunion,NaN,888.927,,1.0072,2511,354.0131
163,Comoros,NaN,850.886,,1.022,1862,456.9742
164,Guyana,NaN,782.766,,1.0048,214969,3.6413
165,Bhutan,NaN,763.092,,1.0112,38394,19.8753
166,Solomon Islands,NaN,669.823,,1.0255,28896,23.1805
167,Macau,NaN,640.445,,1.0139,30,21348.1667
168,Montenegro,NaN,627.987,,1.0001,13812,45.4668
169,Luxembourg,NaN,615.729,,1.0166,2586,238.1009
170,Western Sahara,NaN,582.463,,1.0255,266000,2.1897
171,Suriname,NaN,581.372,,1.009,163820,3.5488
172,Cape Verde,NaN,549.935,,1.011,4033,136.3588
173,Maldives,NaN,530.953,,1.0181,300,1769.8433
174,Malta,NaN,440.372,,1.0027,316,1393.5823
175,Brunei,NaN,433.285,,1.0097,5765,75.1578
176,Guadeloupe,NaN,400.056,,1.0002,1628,245.7346
177,Belize,NaN,390.353,,1.0186,22966,16.997
178,Bahamas,NaN,389.482,,1.0097,13943,27.9339
179,Martinique,NaN,375.554,,0.9992,1128,332.9379
180,Iceland,NaN,339.031,,1.0065,103000,3.2916
181,Vanuatu,NaN,299.882,,1.0242,12189,24.6027
182,French Guiana,NaN,290.832,,1.027,83534,3.4816
183,Barbados,NaN,287.025,,1.0012,430,667.5
184,New Caledonia,NaN,282.75,,1.0097,18575,15.2221
185,French Polynesia,NaN,279.287,,1.0058,4167,67.0235
186,Mayotte,NaN,266.15,,1.025,374,711.631
187,Sao Tome and Principe,NaN,215.056,,1.0191,964,223.0871
188,Samoa,NaN,197.097,,1.0067,2842,69.3515
189,Saint Lucia,NaN,182.79,,1.0046,616,296.737
190,Guam,NaN,167.294,,1.0089,549,304.725
191,Curacao,NaN,163.424,,1.0041,444,368.0721
192,Kiribati,NaN,117.606,,1.0157,811,145.0136
193,Micronesia,NaN,113.815,,1.0106,702,162.1296
194,Grenada,NaN,112.003,,1.0046,344,325.5901
195,Saint Vincent and the Grenadines,NaN,110.589,,1.0032,389,284.2905
196,Aruba,NaN,106.314,,1.0043,180,590.6333
197,United States Virgin Islands,NaN,104.578,,0.9985,347,301.3775
198,Tonga,NaN,104.494,,1.0115,747,139.8849
199,Seychelles,NaN,97.739,,1.0062,452,216.2367
200,Antigua and Barbuda,NaN,97.118,,1.0084,442,219.724
201,Isle of Man,NaN,84.584,,1.0053,572,147.8741
202,Andorra,NaN,77.142,,1.0016,468,164.8333
203,Dominica,NaN,71.808,,1.0025,751,95.6165
204,Cayman Islands,NaN,64.948,,1.0119,264,246.0152
205,Bermuda,NaN,62.506,,0.9964,54,1157.5185
206,Marshall Islands,NaN,58.791,,1.0068,181,324.8122
207,Northern Mariana Islands,NaN,57.216,,1.006,464,123.3103
208,Greenland,NaN,56.672,,1.0017,2166086,0.0262
209,American Samoa,NaN,55.312,,0.9978,199,277.9497
210,Saint Kitts and Nevis,NaN,52.823,,1.0071,261,202.387
211,Faroe Islands,NaN,48.678,,1.0038,1393,34.9447
212,Sint Maarten,NaN,42.388,,1.0115,34,1246.7059
213,Monaco,NaN,38.964,,1.0071,2.02,19289.1089
214,Turks and Caicos Islands,NaN,38.191,,1.0138,948,40.2859
215,Liechtenstein,NaN,38.019,,1.0029,160,237.6188
216,Saint Martin,NaN,38.002,,1.0175,53,717.0189
217,San Marino,NaN,33.86,,1.0021,61,555.082
218,Gibraltar,NaN,33.701,,0.9997,6,5616.8333
219,British Virgin Islands,NaN,30.03,,1.0067,151,198.8742
220,Palau,NaN,18.008,,1.0048,459,39.2331
221,Cook Islands,NaN,17.548,,1.0009,236,74.3559
222,Anguilla,NaN,14.869,,1.009,91,163.3956
223,Tuvalu,NaN,11.646,,1.0125,26,447.9231
224,Wallis and Futuna,NaN,11.432,,0.9831,142,80.507
225,Nauru,NaN,10.756,,1.0063,21,512.1905
226,Saint Barthélemy,NaN,9.847,,1.003,21,468.9048
227,Saint Pierre and Miquelon,NaN,5.822,,0.9952,242,24.0579
228,Montserrat,NaN,4.989,,1.0006,102,48.9118
229,Falkland Islands,NaN,3.377,,1.0305,12173,0.2774
230,Niue,NaN,1.615,,1.0068,260,6.2115
231,Tokelau,NaN,1.34,,1.0127,12,111.6667
232,Vatican City,NaN,0.799,,1.0025,0.44,1815.9091
