County,,2010 Census,Base,2019-Pop,,,,,,,,,
Yukon-Koyukuk Census Area, Alaska,"5,588","5,588","5,230",,,,,,,,,
Apache, Arizona,"71,518","71,517","71,887",,,,,,,,,
Cochise, Arizona,"131,346","131,359","125,922",,,,,,,,,
Coconino, Arizona,"134,421","134,426","143,476",,,,,,,,,
Gila, Arizona,"53,597","53,592","54,018",,,,,,,,,
Graham, Arizona,"37,220","37,212","38,837",,,,,,,,,
Greenlee, Arizona,"8,437","8,444","9,498",,,,,,,,,
La Paz, Arizona,"20,489","20,489","21,108",,,,,,,,,
Maricopa, Arizona,"3,817,117","3,817,365","4,485,414",,,,,,,,,
Mohave, Arizona,"200,186","200,182","212,181",,,,,,,,,
Navajo, Arizona,"107,449","107,488","110,924",,,,,,,,,
Pima, Arizona,"980,263","980,263","1,047,279",,,,,,,,,
Pinal, Arizona,"375,770","375,764","462,789",,,,,,,,,
Santa Cruz, Arizona,"47,420","47,420","46,498",,,,,,,,,
Yavapai, Arizona,"211,033","211,017","235,099",,,,,,,,,
Yuma, Arizona,"195,751","195,750","213,787",,,,,,,,,
Arkansas, Arkansas,"19,019","19,007","17,486",,,,,,,,,
Ashley, Arkansas,"21,853","21,845","19,657",,,,,,,,,
Baxter, Arkansas,"41,513","41,511","41,932",,,,,,,,,
Benton, Arkansas,"221,339","221,348","279,141",,,,,,,,,
Boone, Arkansas,"36,903","36,920","37,432",,,,,,,,,
Bradley, Arkansas,"11,508","11,505","10,763",,,,,,,,,
Calhoun, Arkansas,"5,368","5,368","5,189",,,,,,,,,
Carroll, Arkansas,"27,446","27,449","28,380",,,,,,,,,
Chicot, Arkansas,"11,800","11,800","10,118",,,,,,,,,
Clark, Arkansas,"22,995","22,991","22,320",,,,,,,,,
Clay, Arkansas,"16,083","16,083","14,551",,,,,,,,,
Cleburne, Arkansas,"25,970","25,964","24,919",,,,,,,,,
Cleveland, Arkansas,"8,689","8,692","7,956",,,,,,,,,
Columbia, Arkansas,"24,552","24,552","23,457",,,,,,,,,
Conway, Arkansas,"21,273","21,267","20,846",,,,,,,,,
Craighead, Arkansas,"96,443","96,443","110,332",,,,,,,,,
Crawford, Arkansas,"61,948","61,935","63,257",,,,,,,,,
Crittenden, Arkansas,"50,902","50,907","47,955",,,,,,,,,
Cross, Arkansas,"17,870","17,878","16,419",,,,,,,,,
Dallas, Arkansas,"8,116","8,124","7,009",,,,,,,,,
Desha, Arkansas,"13,008","13,002","11,361",,,,,,,,,
Drew, Arkansas,"18,509","18,517","18,219",,,,,,,,,
Faulkner, Arkansas,"113,237","113,238","126,007",,,,,,,,,
Franklin, Arkansas,"18,125","18,137","17,715",,,,,,,,,
Fulton, Arkansas,"12,245","12,236","12,477",,,,,,,,,
Garland, Arkansas,"96,024","95,999","99,386",,,,,,,,,
Grant, Arkansas,"17,853","17,842","18,265",,,,,,,,,
Greene, Arkansas,"42,090","42,090","45,325",,,,,,,,,
Hempstead, Arkansas,"22,609","22,587","21,532",,,,,,,,,
Hot Spring, Arkansas,"32,923","33,011","33,771",,,,,,,,,
Howard, Arkansas,"13,789","13,781","13,202",,,,,,,,,
Independence, Arkansas,"36,647","36,641","37,825",,,,,,,,,
Izard, Arkansas,"13,696","13,703","13,629",,,,,,,,,
Jackson, Arkansas,"17,997","17,998","16,719",,,,,,,,,
Jefferson, Arkansas,"77,435","77,456","66,824",,,,,,,,,
Johnson, Arkansas,"25,540","25,545","26,578",,,,,,,,,
Lafayette, Arkansas,"7,645","7,643","6,624",,,,,,,,,
Lawrence, Arkansas,"17,415","17,410","16,406",,,,,,,,,
Lee, Arkansas,"10,424","10,428","8,857",,,,,,,,,
Lincoln, Arkansas,"14,134","14,141","13,024",,,,,,,,,
Little River, Arkansas,"13,171","13,168","12,259",,,,,,,,,
Logan, Arkansas,"22,353","22,361","21,466",,,,,,,,,
Lonoke, Arkansas,"68,356","68,382","73,309",,,,,,,,,
Madison, Arkansas,"15,717","15,723","16,576",,,,,,,,,
Marion, Arkansas,"16,653","16,644","16,694",,,,,,,,,
Miller, Arkansas,"43,462","43,462","43,257",,,,,,,,,
Mississippi, Arkansas,"46,480","46,481","40,651",,,,,,,,,
Monroe, Arkansas,"8,149","8,155","6,701",,,,,,,,,
Montgomery, Arkansas,"9,487","9,497","8,986",,,,,,,,,
Nevada, Arkansas,"8,997","9,020","8,252",,,,,,,,,
Newton, Arkansas,"8,330","8,315","7,753",,,,,,,,,
Ouachita, Arkansas,"26,120","26,128","23,382",,,,,,,,,
Perry, Arkansas,"10,445","10,444","10,455",,,,,,,,,
Phillips, Arkansas,"21,757","21,755","17,782",,,,,,,,,
Pike, Arkansas,"11,291","11,287","10,718",,,,,,,,,
Poinsett, Arkansas,"24,583","24,576","23,528",,,,,,,,,
Polk, Arkansas,"20,662","20,654","19,964",,,,,,,,,
Pope, Arkansas,"61,754","61,753","64,072",,,,,,,,,
Prairie, Arkansas,"8,715","8,716","8,062",,,,,,,,,
Pulaski, Arkansas,"382,748","382,749","391,911",,,,,,,,,
Randolph, Arkansas,"17,969","17,969","17,958",,,,,,,,,
St Francis, Arkansas,"28,258","28,253","24,994",,,,,,,,,
Saline, Arkansas,"107,118","107,135","122,437",,,,,,,,,
Scott, Arkansas,"11,233","11,241","10,281",,,,,,,,,
Searcy, Arkansas,"8,195","8,195","7,881",,,,,,,,,
Sebastian, Arkansas,"125,744","125,740","127,827",,,,,,,,,
Sevier, Arkansas,"17,058","17,059","17,007",,,,,,,,,
Sharp, Arkansas,"17,264","17,263","17,442",,,,,,,,,
Stone, Arkansas,"12,394","12,394","12,506",,,,,,,,,
Union, Arkansas,"41,639","41,639","38,682",,,,,,,,,
Van Buren, Arkansas,"17,295","17,296","16,545",,,,,,,,,
Washington, Arkansas,"203,065","203,050","239,187",,,,,,,,,
White, Arkansas,"77,076","77,086","78,753",,,,,,,,,
Woodruff, Arkansas,"7,260","7,264","6,320",,,,,,,,,
Yell, Arkansas,"22,185","22,183","21,341",,,,,,,,,
Alameda, California,"1,510,271","1,510,258","1,671,329",,,,,,,,,
Alpine, California,"1,175","1,175","1,129",,,,,,,,,
Amador, California,"38,091","38,091","39,752",,,,,,,,,
Butte, California,"220,000","220,005","219,186",,,,,,,,,
Calaveras, California,"45,578","45,578","45,905",,,,,,,,,
Colusa, California,"21,419","21,407","21,547",,,,,,,,,
Contra Costa, California,"1,049,025","1,049,204","1,153,526",,,,,,,,,
Del Norte, California,"28,610","28,610","27,812",,,,,,,,,
El Dorado, California,"181,058","181,058","192,843",,,,,,,,,
Fresno, California,"930,450","930,507","999,101",,,,,,,,,
Glenn, California,"28,122","28,122","28,393",,,,,,,,,
Humboldt, California,"134,623","134,611","135,558",,,,,,,,,
Imperial, California,"174,528","174,524","181,215",,,,,,,,,
Inyo, California,"18,546","18,542","18,039",,,,,,,,,
Kern, California,"839,631","839,621","900,202",,,,,,,,,
Kings, California,"152,982","152,974","152,940",,,,,,,,,
Lake, California,"64,665","64,662","64,386",,,,,,,,,
Lassen, California,"34,895","34,895","30,573",,,,,,,,,
Los Angeles, California,"9,818,605","9,819,968","10,039,107",,,,,,,,,
Madera, California,"150,865","150,834","157,327",,,,,,,,,
Marin, California,"252,409","252,430","258,826",,,,,,,,,
Mariposa, California,"18,251","18,247","17,203",,,,,,,,,
Mendocino, California,"87,841","87,850","86,749",,,,,,,,,
Merced, California,"255,793","255,796","277,680",,,,,,,,,
Modoc, California,"9,686","9,682","8,841",,,,,,,,,
Mono, California,"14,202","14,206","14,444",,,,,,,,,
Monterey, California,"415,057","415,059","434,061",,,,,,,,,
Napa, California,"136,484","136,535","137,744",,,,,,,,,
Nevada, California,"98,764","98,747","99,755",,,,,,,,,
Orange, California,"3,010,232","3,008,989","3,175,692",,,,,,,,,
Placer, California,"348,432","348,502","398,329",,,,,,,,,
Plumas, California,"20,007","20,007","18,807",,,,,,,,,
Riverside, California,"2,189,641","2,189,765","2,470,546",,,,,,,,,
Sacramento, California,"1,418,788","1,418,735","1,552,058",,,,,,,,,
San Benito, California,"55,269","55,265","62,808",,,,,,,,,
San Bernardino, California,"2,035,210","2,035,183","2,180,085",,,,,,,,,
San Diego, California,"3,095,313","3,095,349","3,338,330",,,,,,,,,
San Francisco, California,"805,235","805,184","881,549",,,,,,,,,
San Joaquin, California,"685,306","685,306","762,148",,,,,,,,,
San Luis Obispo, California,"269,637","269,597","283,111",,,,,,,,,
San Mateo, California,"718,451","718,517","766,573",,,,,,,,,
Santa Barbara, California,"423,895","423,947","446,499",,,,,,,,,
Santa Clara, California,"1,781,642","1,781,686","1,927,852",,,,,,,,,
Santa Cruz, California,"262,382","262,350","273,213",,,,,,,,,
Shasta, California,"177,223","177,221","180,080",,,,,,,,,
Sierra, California,"3,240","3,239","3,005",,,,,,,,,
Siskiyou, California,"44,900","44,900","43,539",,,,,,,,,
Solano, California,"413,344","413,343","447,643",,,,,,,,,
Sonoma, California,"483,878","483,861","494,336",,,,,,,,,
Stanislaus, California,"514,453","514,450","550,660",,,,,,,,,
Sutter, California,"94,737","94,756","96,971",,,,,,,,,
Tehama, California,"63,463","63,440","65,084",,,,,,,,,
Trinity, California,"13,786","13,784","12,285",,,,,,,,,
Tulare, California,"442,179","442,182","466,195",,,,,,,,,
Tuolumne, California,"55,365","55,368","54,478",,,,,,,,,
Ventura, California,"823,318","823,398","846,006",,,,,,,,,
Yolo, California,"200,849","200,855","220,500",,,,,,,,,
Yuba, California,"72,155","72,142","78,668",,,,,,,,,
Adams, Colorado,"441,603","441,697","517,421",,,,,,,,,
Alamosa, Colorado,"15,445","15,440","16,233",,,,,,,,,
Arapahoe, Colorado,"572,003","572,118","656,590",,,,,,,,,
Archuleta, Colorado,"12,084","12,084","14,029",,,,,,,,,
Baca, Colorado,"3,788","3,787","3,581",,,,,,,,,
Bent, Colorado,"6,499","6,499","5,577",,,,,,,,,
Boulder, Colorado,"294,567","294,560","326,196",,,,,,,,,
